,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.
region_Chefchaouen[T.True],0.0237,0.0272,0.8716,0.3834,-0.0296,0.0769
region_Ouazzane[T.True],-0.0111,0.0398,-0.2794,0.78,-0.0891,0.0669
land_size_ha,0.0645,0.0286,2.2585,0.0239,0.0085,0.1205
education_yrs,0.0152,0.0031,4.8498,0.0,0.009,0.0213
age,-0.0003,0.0009,-0.3415,0.7327,-0.002,0.0014
household_size,-0.0009,0.004,-0.2216,0.8246,-0.0088,0.007
distance_to_anrac_km,-0.0036,0.0006,-5.8317,0.0,-0.0048,-0.0024
household_income_usd,-0.0,0.0,-0.0515,0.9589,-0.0,0.0
info_access_legal,0.1174,0.0272,4.3097,0.0,0.064,0.1708
prior_arrests,-0.0539,0.0154,-3.4998,0.0005,-0.084,-0.0237
years_growing_cannabis,-0.0012,0.0009,-1.2695,0.2042,-0.0031,0.0007
irrigation_access,-0.0055,0.0245,-0.224,0.8228,-0.0535,0.0425
