household_id,age,gender,education_yrs,household_size,land_size_ha,years_growing_cannabis,distance_to_anrac_km,prior_arrests,household_income_usd,income_post_law_usd,info_access_legal,irrigation_access,food_security,joined_legal_cooperative,willing_stay_legal,income_change_pct,log_income,edu_secondary,any_prior_arrest,distance_quartile,region_Chefchaouen,region_Ouazzane,survey_year,macro_gdp_per_capita,macro_agri_value_added,macro_rural_population,anrac_legal_hectares,anrac_total_licenses,anrac_cooperatives,anrac_pct_legal
1,27,Male,0,2,0.1,11,55.4,1,400.0,352.0,1,0,1,0,,-12.0,5.993961427306569,0,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
2,37,Male,6,7,1.12,8,53.5,2,1588.0,1743.0,0,0,3,0,,9.76,7.370860166536716,1,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
3,45,Male,3,5,2.89,20,24.4,1,2560.0,2411.0,1,0,2,0,,-5.82,7.848153086199526,0,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
4,71,Male,3,8,1.09,14,59.0,0,1108.0,1062.0,1,0,2,0,,-4.15,7.011213987350367,0,0,Q4_furthest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
5,53,Male,9,2,2.13,27,22.5,0,1558.0,1473.0,1,0,2,0,,-5.46,7.351799869057777,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
6,34,Male,0,9,1.03,11,45.3,0,1644.0,1579.0,1,1,2,0,,-3.95,7.405495663199472,0,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
7,63,Male,12,2,0.52,9,17.2,1,400.0,413.0,1,1,2,0,,3.25,5.993961427306569,1,1,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
8,38,Male,0,6,0.84,12,61.2,0,1351.0,1351.0,0,0,1,0,,0.0,7.20934025660291,0,0,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
9,47,Female,6,9,5.331199999999999,11,55.3,1,7756.489999999999,10715.0,1,0,1,1,1.0,38.14,8.956414107246616,1,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
10,67,Male,3,2,0.2,31,21.6,0,400.0,387.0,1,0,2,0,,-3.25,5.993961427306569,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
11,60,Male,0,11,2.43,26,20.6,3,3702.0,3393.0,1,1,2,0,,-8.35,8.216898580913613,0,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
12,59,Female,3,6,0.1,4,51.6,0,400.0,510.0,1,0,2,1,1.0,27.5,5.993961427306569,0,0,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
13,50,Female,3,11,1.76,18,46.5,0,1349.0,1299.0,0,0,1,0,,-3.71,7.2078598714324755,0,0,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
14,51,Male,3,9,1.66,21,92.30199999999999,0,1934.0,2086.0,1,1,2,0,,7.86,7.5678626054638825,0,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
15,46,Male,0,2,0.15,14,17.0,0,400.0,359.0,1,1,3,0,,-10.25,5.993961427306569,0,0,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
16,44,Male,6,7,1.37,17,19.1,0,2609.0,2693.0,1,0,1,0,,3.22,7.867105500316739,1,0,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
17,47,Male,3,3,0.5,32,40.9,0,885.0,768.0,0,0,2,0,,-13.22,6.786716950605081,0,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
18,57,Male,12,7,1.23,5,18.9,0,2145.0,2745.0,0,1,3,1,0.0,27.97,7.671360923190644,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
